No,region,country,project name,sector,subsector,Special yen (ODA) loan / STEP,Date of approval(year/month/day),Amount of approval(millions; jpy),Main portion Interest rate(%),Main portion Repayment period(years),Main portion Grace period(years),Main portion Tying status,Consulting portion Interest rate(%),Consulting portion Repayment period(years),Consulting portion Grace period(years),Consulting portion Tying status,Executing agency,project url,ex-ante evaluation,ex-post evaluation,other url,Memo
1,"South Asia","Nepal","Urban Transmission and Distribution System Improvement Project","Electric Power And Gas","Transmission Lines And Distribution Systems","","2022-09-21",15901.00,0.01,"40","10","General untied",0.01,"40","10","General untied","Nepal Electricity Authority (NEA)","https://www.jica.go.jp/english/news/press/2022/20220922_33.html","https://www2.jica.go.jp/en/evaluation/pdf/2022_NE-P13_1_s.pdf","","",""
2,"South Asia","Nepal","The Policy Loan for Economic Growth and Resilience","Commodity Loans","Commodity Loans","","2022-01-25",10000.00,0.01,"40","10","General untied",,"","","","International Economic Cooperation Coordination Division, Ministry of Finance","https://www.jica.go.jp/english/news/press/2021/20220126_30.html","https://www2.jica.go.jp/en/evaluation/pdf/2021_NE-C1_1_s.pdf","","",""
3,"South Asia","Nepal","Nagdhunga Tunnel Construction Project","Transportation","Roads","","2016-12-22",16636.00,0.01,"40","10","General untied",0.01,"40","10","General untied","Ministry of Physical Infrastructure and Transport","https://www2.jica.go.jp/yen_loan/pdf/en/6822/20161222_01.pdf","https://www2.jica.go.jp/en/evaluation/pdf/2016_NE-P10_1_f.pdf","","",""
4,"South Asia","Nepal","Emergency Housing Reconstruction Project","Social Services","Urban/Rural Community Infrastructure","","2015-12-21",12000.00,0.01,"40","10","General untied",0.01,"40","10","General untied","Reconstruction Authority (provisional)","https://www2.jica.go.jp/yen_loan/pdf/en/6630/20151221.pdf","https://www2.jica.go.jp/en/evaluation/pdf/2015_NE-P12_1_f.pdf","","",""
5,"South Asia","Nepal","Emergency School Reconstruction Project","Social Services","Education","","2015-12-21",14000.00,0.01,"40","10","General untied",0.01,"40","10","General untied","Reconstruction Authority (provisional)","https://www2.jica.go.jp/yen_loan/pdf/en/6631/20151221.pdf","https://www2.jica.go.jp/en/evaluation/pdf/2015_NE-P11_1_f.pdf","","",""
6,"South Asia","Nepal","Tanahu Hydropower Project","Electric Power And Gas","Power Plants","","2013-03-13",15137.00,0.01,"40","10","General untied",0.01,"40","10","","Tanahu Hydropower Limited","https://www2.jica.go.jp/yen_loan/pdf/en/6302/20130313.pdf","https://www2.jica.go.jp/en/evaluation/pdf/2012_NE-P9_1_f.pdf","","",""
7,"South Asia","Nepal","Melamchi Water Supply Project","Social Services","Water Supply, Sewerage And Sanitation","","2001-03-30",5494.00,1.00,"30","10","General Untied",0.75,"40","10","General Untied","Melamchi Water Supply Development Board Under The Ministry Of Physical Planning And Works","https://www2.jica.go.jp/yen_loan/pdf/en/4948/20010330-65.pdf","","","",""
8,"South Asia","Nepal","Kali Gandaki A Hydroelectric Project","Electric Power And Gas","Power Plants","","1996-10-14",16916.00,1.00,"30","10","General Untied",,"","","","Nepal Electricity Authority","","","","",""
9,"South Asia","Nepal","Kulekhani Disaster Prevention Project (II)","Irrigation And Flood Control","Irrigation And Flood Control","","1996-05-17",3484.00,1.00,"30","10","General Untied",1.00,"30","10","General Untied","Nepal Electricity Authority","","","","",""
10,"South Asia","Nepal","Kulekhani Disaster Prevention Project","Irrigation And Flood Control","Irrigation And Flood Control","","1990-10-05",2710.00,1.00,"30","10","General Untied",1.00,"30","10","General Untied","Nepal Electricity Authority","","","","",""
11,"South Asia","Nepal","Udaipur Cement Project","Mining And Manufacturing","Manufacturing","","1987-10-14",18770.00,1.25,"30","10","Partially Untied",1.25,"30","10","Partially Untied","Udaipur Cement Industries Ltd.","","","","",""
12,"South Asia","Nepal","Second Kulekhani Hydroelectric Project (II)","Electric Power And Gas","Power Plants","","1983-06-09",4806.00,1.25,"30","10","Partially Untied",1.25,"30","10","Partially Untied","The Electricity Department, Ministry Of Water Resources","","","","",""
13,"South Asia","Nepal","Second Kulekhani Hydroelectric Project","Electric Power And Gas","Power Plants","","1982-04-20",7344.00,1.25,"30","10","Partially Untied",,"","","","The Electricity Department, Ministry Of Water Resources","","","","",""
14,"South Asia","Nepal","Kulekhani Hydroelectric Project (II)","Electric Power And Gas","Power Plants","","1978-12-27",1005.00,2.75,"30","10","Compound Untied",,"","","","The Kulekhani Hydro-Electric Development Board","","","","",""
15,"South Asia","Nepal","Kulekhani Hydroelectric Project","Electric Power And Gas","Power Plants","","1976-03-16",3000.00,2.75,"30","10","Partially Untied",,"","","","The Electricity Department Of The Ministry Of Water And Power","","","","",""
,Summary,,,,,,,147203,,,,,,,,,,,,,
